index,Part,Nest,CutWidthAve,CutWidthHigh,CutWidthLow,Flatness,GDT_Data.FrontSurfacePt1,GDT_Data.FrontSurfacePt2,Sides_Parallelism123213,GDT_Data.PartNumber,Side1ToFront_Perpendicularity,Side1ToTop_Perpendicularity,GDT_Data.Side1_Pt1,GDT_Data.Side1_Pt2,GDT_Data.Side1_Pt3,GDT_Data.Side1_Pt4,GDT_Data.Side1_X_Angle,GDT_Data.Side1_Y_Angle,Side2ToFront_Perpendicularity,Side2ToTop_Perpendicularity,GDT_Data.Side2_Pt1,GDT_Data.Side2_Pt2,GDT_Data.Side2_Pt3,GDT_Data.Side2_Pt4,GDT_Data.Side2_X_Angle,GDT_Data.Side2_Y_Angle,Sides_Parallelism,GDT_Data.Spare[0],GDT_Data.Spare[10],GDT_Data.Spare[11],GDT_Data.Spare[12],GDT_Data.Spare[13],GDT_Data.Spare[14],GDT_Data.Spare[15],GDT_Data.Spare[16],GDT_Data.Spare[17],GDT_Data.Spare[18],GDT_Data.Spare[19],GDT_Data.Spare[1],GDT_Data.Spare[2],GDT_Data.Spare[3],GDT_Data.Spare[4],GDT_Data.Spare[5],GDT_Data.Spare[6],GDT_Data.Spare[7],GDT_Data.Spare[8],GDT_Data.Spare[9],GDT_Data.TopSurfacePt1,GDT_Data.TopSurfacePt2,GDT_Data.TopSurfacePt3,GDT_Data.TopSurfacePt4,GDT_Data.TopSurfacePt5,GDT_Data.TopSurfacePt6,GDT_Data.TopSurfacePt7,GDT_Data.TopSurface_X_Angle,HydroMES.AxialNonUniformityGrade,HydroMES.AxialNonUniformityRating,HydroMES.CTLStatus,HydroMES.CellContrastGrade,HydroMES.CellContrastRating,HydroMES.CellModulationGrade,HydroMES.CellModulationRating,HydroMES.DataMatrix_Code,HydroMES.Date,HydroMES.Feature101Data,HydroMES.Feature22DataHigh,HydroMES.Feature22DataLow,HydroMES.Feature91Data,HydroMES.Feature93Data,HydroMES.Feature94Data,HydroMES.Feature95Data,HydroMES.Feature99Data,HydroMES.FixedPatternDamageGrade,HydroMES.FixedPatternDamageRating,HydroMES.FlatnessStatus,HydroMES.GridNonUniformityGrade,HydroMES.GridNonUniformityRating,HydroMES.JobNumber,HydroMES.JobNumberTrimmed,HydroMES.OperatingCrew,HydroMES.OperatorID,HydroMES.OverallDimStatus,HydroMES.ParallelismStatus,HydroMES.PartMarkingStatus,HydroMES.PerpendicularityStatus,HydroMES.ReferenceDecodeGrade,HydroMES.ReferenceDecodeRating,HydroMES.SerialNumber,HydroMES.SupplierCode,HydroMES.Time,HydroMES.Type,HydroMES.UnusedErrorCorrectionGrade,HydroMES.UnusedErrorCorrectionRating,Model.CutWidth_HighLimit,Model.CutWidth_LowLimit,Model.Flatness_HighLimit,Model.Flatness_LowLimit,Model.Height,Model.Length,Model.Name,Model.Parellelism_HighLimit,Model.Parellelism_LowLimit,Model.SideToFrontPerp_HighLimit,Model.SideToFrontPerp_LowLimit,Model.SideToTopPerp_HighLimit,Model.SideToTopPerp_LowLimit,Model.TypeCode,Model.Width,RejectCode,Status
32,3,1,118.0898056,118.108696,118.065918,0.08653091,-4.558000088,-4.517000198,0.029001487,R47,0.011913954,0.009618047,1.453468204,1.488736153,1.392618775,1.397836328,-0.024677109,-0.040252734,0.050636861,0.009319373,0.79012996,0.808548927,0.892065167,0.890679121,-0.010382069,-0.04882485,0.043105561,0.045611277,2.561353207,2.463835239,2.303373575,2.228074789,2.215950251,2.392562389,2.341639996,0.091681816,0.224880725,0.111206137,78.44641876,0,0,0.048999581,0.136602148,-0.052730799,0.054485247,0.069732018,0.037012875,28.3109436,20.26873207,27.24666595,-48.23317337,26.21324348,-50.35545349,-57.14074326,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.009618047,118.108696,118.065918,0.043105561,0.011913954,0.085451692,0.050636861,0.009319373,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,782,6,24:17.3,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
62,3,1,118.0836563,118.1047745,118.0579224,0.08808003,-4.59100008,-4.541999817,0.034660593,R47,0.008679925,0.009624559,1.45515132,1.480647802,1.397752762,1.3943367,-0.013458669,-0.038120165,0.049918983,0.011330969,0.788136065,0.79886961,0.891640663,0.882952869,-0.001246946,-0.049759213,0.046257906,0.038369108,2.555337906,2.472380161,2.288936853,2.223160505,2.216855764,2.384669781,2.343066216,0.086824566,0.237052307,0.113334283,78.01848602,0,0,0.040938459,0.140533984,-0.051310904,0.047249086,0.069416836,0.027914733,29.07154083,19.48690605,28.86950684,-46.63618851,27.38230133,-51.75012207,-57.93572235,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.009624559,118.1047745,118.0579224,0.046257906,0.008679925,0.087007262,0.049918983,0.011330969,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,802,6,33:43.7,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
92,3,1,118.0934601,118.1044159,118.078064,0.08204502,-4.602000237,-4.571000099,0.021928111,R47,0.020573141,0.015300924,1.461946368,1.491685867,1.386792541,1.392021775,-0.021314476,-0.046371885,0.045981538,0.010424415,0.796126962,0.812217116,0.893601418,0.894293427,-0.010229226,-0.047627315,0.036157701,0.044082336,2.549015522,2.463004589,2.284610271,2.214385986,2.19380641,2.39042449,2.34612298,0.105619125,0.20411472,0.108478561,71.97498322,0,0,0.046286892,0.14492327,-0.056532599,0.05819954,0.067688107,0.034464382,18.69155502,16.49963951,27.9726162,-48.00236893,18.15480614,-44.97896576,-48.12949371,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.015300924,118.1044159,118.078064,0.036157701,0.020573141,0.076102115,0.045981538,0.010424415,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,823,6,39:25.3,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
122,3,1,118.0889587,118.110405,118.0635147,0.09335394,-4.59800005,-4.570000172,0.019805863,R47,0.004718008,0.013356449,1.459109664,1.490437746,1.396715403,1.402337551,-0.022522258,-0.039919887,0.05023605,0.008293531,0.783168793,0.800504208,0.889274001,0.889149725,-0.010490698,-0.051659223,0.0504045,0.046901945,2.559294701,2.461515903,2.288187504,2.211571455,2.197026253,2.392100811,2.341061354,0.090923712,0.203535482,0.117661856,78.01002502,0,0,0.049933404,0.145629466,-0.049571432,0.059225105,0.069556043,0.039250024,25.77902222,15.34413147,28.915411,-51.74499512,22.26502991,-45.48022842,-53.4581604,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.013356449,118.110405,118.0635147,0.0504045,0.004718008,0.082373574,0.05023605,0.008293531,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,844,6,45:04.2,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
152,3,1,118.0959625,118.1091614,118.0761185,0.095318,-4.617000103,-4.587999821,0.020513501,R47,0.011600759,0.014639531,1.461388707,1.494633436,1.397294283,1.397301435,-0.020268003,-0.042819683,0.037741672,0.008697025,0.795458734,0.810829163,0.893066645,0.88874495,-0.00673453,-0.046559095,0.035042007,0.042952083,2.553050518,2.465392113,2.275972605,2.2077353,2.19233489,2.390179157,2.345856667,0.097528443,0.192652866,0.106045522,76.46090698,0,0,0.045021392,0.149641186,-0.052593291,0.056459062,0.064070411,0.034927882,20.65121078,15.36881733,28.09736824,-48.46419144,23.99671173,-43.71952057,-47.67793274,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.014639531,118.1091614,118.0761185,0.035042007,0.011600759,0.076561563,0.037741672,0.008697025,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,864,6,49:21.6,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
33,4,1,118.0884018,118.1003494,118.0794373,0.08005018,-4.535999775,-4.434999943,0.071442723,R47,0.054133855,0.03092828,1.445667982,1.481863022,1.319633484,1.344241858,-0.037061471,-0.069936804,0.085372061,0.049152829,0.781275153,0.850782335,0.920789599,0.964228868,-0.068844162,-0.067099944,0.036165737,0.027994532,2.513597488,2.501708508,2.320160389,2.263706446,2.252705097,2.429206848,2.392542362,0.159291834,0.356282085,0.152830467,73.61812592,0,0,0.022913685,0.122789316,-0.071267366,0.056530118,0.084982447,0.073344775,-3.520726204,23.25725365,33.12454987,-44.49357605,1.109313488,-19.0419445,-39.14753723,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.03092828,118.1003494,118.0794373,0.036165737,0.054133855,0.07761813,0.085372061,0.049152829,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,783,6,24:21.1,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
63,4,1,118.0970459,118.1103973,118.0879059,0.08368815,-4.571000099,-4.460999966,0.077809133,R47,0.068945445,0.033775866,1.466852307,1.488111138,1.33063519,1.339029312,-0.018074352,-0.075677849,0.08156471,0.049860477,0.791091144,0.839646161,0.930082262,0.957585335,-0.046359647,-0.068152845,0.020444091,0.006926907,2.491533041,2.516129494,2.308361769,2.272167444,2.270956755,2.419552565,2.415928364,0.17236796,0.366975158,0.155228615,69.98014069,0,0,0.003406029,0.119218953,-0.077770367,0.038089782,0.083310835,0.05293005,-6.666152,21.42326546,33.78868103,-40.19145966,-3.001240969,-19.89645958,-26.7466507,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.033775866,118.1103973,118.0879059,0.020444091,0.068945445,0.073980138,0.08156471,0.049860477,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,803,6,33:47.5,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
93,4,1,118.0967407,118.1070786,118.0896454,0.08452345,-4.561999798,-4.464000225,0.069320485,R47,0.048488408,0.035992812,1.456153274,1.491141319,1.335353613,1.353685856,-0.032500293,-0.068504274,0.067355961,0.048460875,0.785435259,0.847020566,0.917164266,0.955839813,-0.061111938,-0.063807383,0.022614978,0.023642816,2.506337881,2.501377583,2.303711891,2.253993034,2.232495785,2.417987585,2.38503933,0.15602906,0.333432347,0.145331144,68.23246765,0,0,0.02171129,0.129469439,-0.068788745,0.056851134,0.077072509,0.068354636,-5.793887138,28.72639465,31.97172165,-40.260746,-2.700641394,-20.80788612,-37.51093292,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.035992812,118.1070786,118.0896454,0.022614978,0.048488408,0.07223247,0.067355961,0.048460875,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,824,6,39:29.5,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
123,4,1,118.0950317,118.1007919,118.0872269,0.08482709,-4.584000111,-4.46999979,0.080638684,R47,0.056204226,0.0359906,1.456484914,1.490526676,1.329546452,1.34890008,-0.032546069,-0.071239054,0.084300518,0.048828166,0.780402303,0.840407491,0.928877175,0.959859848,-0.055459775,-0.071069874,0.030890213,0.020919085,2.515511751,2.512839317,2.299271107,2.250854254,2.23658061,2.418969154,2.390440226,0.16225791,0.376155674,0.161872581,74.45341492,0,0,0.018662211,0.135237128,-0.07217636,0.054125361,0.084511988,0.06596978,-3.026664734,22.93836975,33.69855499,-44.75485992,-3.55672884,-24.03274918,-42.27075195,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.0359906,118.1007919,118.0872269,0.030890213,0.056204226,0.078453414,0.084300518,0.048828166,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,845,6,45:08.1,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
153,4,1,118.0987549,118.1110229,118.09198,0.08507539,-4.611000061,-4.477000237,0.0947854,R47,0.054139625,0.036960475,1.457685709,1.501401305,1.334412456,1.35943675,-0.041898988,-0.070356481,0.067540035,0.048710067,0.778218508,0.849437416,0.913744748,0.955523312,-0.068875268,-0.064089589,0.017822005,0.031168854,2.538007736,2.514246464,2.287927628,2.235968351,2.205477715,2.43029213,2.39369607,0.160247713,0.391616434,0.145973921,75.00543213,0,0,0.029078808,0.153517738,-0.0712699,0.065269977,0.077153325,0.076110587,-7.182132721,16.6186924,35.06229401,-43.94314194,-2.556238413,-21.03107452,-36.46557236,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.036960475,118.1110229,118.09198,0.017822005,0.054139625,0.079005435,0.067540035,0.048710067,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,865,6,49:25.5,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
34,5,1,118.1184464,118.1326065,118.1089783,0.11626805,-4.547999859,-4.43900013,0.077101491,R47,0.006905049,0.016367661,1.432885766,1.47777617,1.378764749,1.393294454,-0.036218308,-0.036765508,0.020620132,0.045599803,0.814902306,0.87991178,0.903414667,0.947693348,-0.066614337,-0.041458249,0.032289658,0.044071026,2.539914846,2.418273926,2.309215069,2.230335712,2.253994703,2.367506981,2.320300579,0.083739124,0.304419011,0.094427563,103.1345291,0,0,0.046668489,0.107725121,-0.050531648,0.05917244,0.05655323,0.086143114,47.89030838,12.03087425,17.54340553,-53.46648026,45.66805267,-55.71297455,-60.60003281,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.016367661,118.1326065,118.1089783,0.032289658,0.006905049,0.10849034,0.020620132,0.045599803,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,784,6,24:25.0,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
